Coverage;Discr.;patType;ov;un;finKmin;finKmax;maxNbPat;patPreference;obj;PCR;DC;IPC;Size;Other
30;10;pat;20;20;2;15;5;-1;9;0.34;0.82;0.96;2;[]
30;10;pat;20;20;2;15;5;1;9;0.34;0.82;0.96;2;[]
30;10;pat;20;20;2;15;5;2;9;0.34;0.82;0.96;2;[]
30;10;pat;20;20;2;15;5;3;9;0.34;0.82;0.96;2;[]
30;10;tag;20;20;2;15;5;-1;9;0.85;0.96;0.98;3;[]
30;10;tag;20;20;2;15;5;1;9;0.85;0.96;0.98;3;[]
30;10;tag;20;20;2;15;5;2;9;0.85;0.96;0.98;3;[]
30;10;tag;20;20;2;15;5;3;9;0.85;0.96;0.98;3;[]
50;10;pat;20;20;2;15;5;-1;9;0.78;0.8;1.0;8;[]
50;10;pat;20;20;2;15;5;1;9;0.78;0.79;1.0;8;[]
50;10;pat;20;20;2;15;5;2;9;0.78;0.79;1.0;8;[]
50;10;pat;20;20;2;15;5;3;9;0.78;0.79;1.0;8;[]
50;30;pat;20;20;2;15;5;-1;9;0.58;0.74;0.92;2;[]
50;30;pat;20;20;2;15;5;1;9;0.58;0.74;0.92;2;[]
50;30;pat;20;20;2;15;5;2;9;0.58;0.74;0.92;2;[]
50;30;pat;20;20;2;15;5;3;9;0.58;0.74;0.92;2;[]
50;10;tag;20;20;2;15;5;-1;9;0.92;0.92;0.97;3;[]
50;10;tag;20;20;2;15;5;1;9;0.92;0.92;0.97;3;[]
50;10;tag;20;20;2;15;5;2;9;0.92;0.92;0.97;3;[]
50;10;tag;20;20;2;15;5;3;9;0.92;0.92;0.97;3;[]
50;30;tag;20;20;2;15;5;-1;9;0.92;0.92;0.97;3;[]
50;30;tag;20;20;2;15;5;1;9;0.92;0.92;0.97;3;[]
50;30;tag;20;20;2;15;5;2;9;0.92;0.92;0.97;3;[]
50;30;tag;20;20;2;15;5;3;9;0.92;0.92;0.97;3;[]
70;10;pat;20;20;2;15;5;-1;9;0.83;0.88;0.98;3;[]
70;10;pat;20;20;2;15;5;1;9;0.83;0.88;0.98;3;[]
70;10;pat;20;20;2;15;5;2;9;0.83;0.88;0.98;3;[]
70;10;pat;20;20;2;15;5;3;9;0.83;0.88;0.98;3;[]
70;30;pat;20;20;2;15;5;-1;9;0.83;0.88;0.98;3;[]
70;30;pat;20;20;2;15;5;1;9;0.83;0.88;0.98;3;[]
70;30;pat;20;20;2;15;5;2;9;0.83;0.88;0.98;3;[]
70;30;pat;20;20;2;15;5;3;9;0.83;0.88;0.98;3;[]
70;50;pat;20;20;2;15;5;-1;9;0.74;0.93;0.87;2;[]
70;50;pat;20;20;2;15;5;1;9;0.74;0.93;0.87;2;[]
70;50;pat;20;20;2;15;5;2;9;0.74;0.93;0.87;2;[]
70;50;pat;20;20;2;15;5;3;9;0.74;0.93;0.87;2;[]
70;10;tag;20;20;2;15;5;-1;9;0.92;0.92;0.97;3;[]
70;10;tag;20;20;2;15;5;1;9;0.92;0.92;0.97;3;[]
70;10;tag;20;20;2;15;5;2;9;0.92;0.92;0.97;3;[]
70;10;tag;20;20;2;15;5;3;9;0.92;0.92;0.97;3;[]
70;30;tag;20;20;2;15;5;-1;9;0.92;0.92;0.97;3;[]
70;30;tag;20;20;2;15;5;1;9;0.92;0.92;0.97;3;[]
70;30;tag;20;20;2;15;5;2;9;0.92;0.92;0.97;3;[]
70;30;tag;20;20;2;15;5;3;9;0.92;0.92;0.97;3;[]
70;50;tag;20;20;2;15;5;-1;9;0.98;0.98;0.89;3;[]
70;50;tag;20;20;2;15;5;1;9;0.98;0.98;0.89;3;[]
70;50;tag;20;20;2;15;5;2;9;0.96;0.98;0.87;3;[]
70;50;tag;20;20;2;15;5;3;9;0.98;0.98;0.89;3;[]
